ID,business_name,Dine in,Serves food,Serves alcohol,Drinks only,Primarily food,Primarily drinks,Cocktails,beer ,Craft Beer,Draft Beer,Spirits,Wine menu ,Outdoor seating,Takeaway drinks,Heater,By river,LGBT+ Friendly,Family Friendly,Student friendly,Wheelchair accessible ,Rooftop,Good views,Atmospheric ,Cosy,Trendy,Hip,Quirky,Rustic,Casual,Smart,Lively,Fine Dining,Relaxed,Authentic,Snug,Industrial,Impressive,No Frills,Independent,Happy Hour Food,Happy Hour Drinks,Good for kids,Children's menu,Live Music,DJs,Pop-up Events,WiFi,Vegetrian Options,Vegan Options,Fireplace,Late-night Food,visits_count
0,The Full MoonThe Attic Bar,1,1,1,1,-1,-1,-1,1,0,0,1,1,1,-1,0,-1,1,-1,1,1,-1,-1,0,-1,-1,0,-1,-1,1,0,1,-1,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,1,1,1,0,1,1,0,0,2
1,Pieminister,1,1,1,-1,1,-1,1,1,0,0,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,0,-1,-1,-1,-1,-1,1,0,0,-1,1,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,0,1,1,0,0,0,1
2,Caribbean Croft,1,1,1,-1,1,-1,1,1,0,0,1,1,-1,1,-1,-1,0,0,0,1,-1,-1,0,-1,-1,-1,-1,-1,1,0,0,-1,1,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,0,0,1,0,1,0,1
3,Tuk Tuck,1,1,-1,-1,1,-1,-1,-1,0,0,-1,-1,1,-1,-1,-1,0,0,0,1,-1,-1,0,-1,-1,-1,-1,-1,1,0,0,-1,0,0,0,-1,-1,-1,0,0,0,0,-1,-1,-1,0,1,1,0,0,0,0
4,The Spaghetti Incident,1,1,1,-1,1,-1,-1,1,0,0,-1,1,-1,1,-1,-1,0,1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,1,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,0,1,0,0,0,0,0
5,The Viet Kitchen,1,1,1,-1,1,-1,-1,1,0,0,-1,-1,-1,1,-1,-1,0,0,0,-1,-1,-1,1,-1,1,0,-1,-1,1,0,0,-1,0,1,0,1,-1,-1,0,0,0,0,-1,-1,-1,0,0,1,0,-1,0,0
6,Marina Restaurant,1,1,-1,-1,1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,1,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,1,-1,-1,0,0,1,1,-1,0,0
7,No.51,1,1,1,1,-1,1,1,1,0,0,1,1,1,-1,1,-1,0,0,1,1,-1,-1,0,-1,1,0,-1,0,1,0,1,-1,0,0,0,-1,-1,-1,0,0,0,0,-1,1,1,1,0,1,0,0,0,0
8,Om Burger,1,1,1,1,1,-1,-1,1,0,0,-1,1,1,1,-1,-1,0,1,1,0,-1,-1,0,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,0,1,1,1,-1,0,1
9,Falafel Time,1,1,-1,-1,1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,1,0,-1,-1,0,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,0,-1,1,1,-1,0,0
10,Biblos,1,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1,1,-1,-1,0,0,1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,0,-1,-1,1,0,0,-1,-1,-1,0,0,0,0,-1,-1,-1,0,-1,1,1,-1,0,1
11,Café Cuba,1,1,1,-1,1,-1,1,1,0,0,1,1,1,1,-1,-1,0,0,1,1,-1,-1,0,-1,-1,-1,-1,-1,1,0,1,-1,0,1,-1,-1,-1,-1,0,0,0,1,0,-1,-1,0,-1,1,0,-1,1,1
12,Jamaica Street Stores,1,1,1,-1,1,-1,1,1,0,0,1,1,-1,1,-1,-1,1,1,0,1,-1,-1,0,-1,1,0,-1,-1,1,0,1,-1,1,0,-1,1,0,-1,1,0,0,1,0,-1,-1,0,1,1,0,-1,0,0
13,Poco Tapas Bar,1,1,1,1,1,-1,1,1,0,0,1,1,-1,-1,-1,-1,1,1,0,-1,-1,-1,1,1,1,0,-1,1,1,0,1,-1,0,0,0,-1,0,-1,1,0,0,1,1,-1,-1,0,0,1,1,-1,1,5
14,Take Five Café,1,1,1,1,-1,-1,-1,1,0,0,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,0,-1,-1,1,0,1,-1,0,0,-1,0,-1,0,1,0,0,1,0,1,1,1,0,1,1,-1,0,0
15,The Canteen,1,1,1,1,-1,-1,1,1,0,0,1,1,1,1,-1,-1,0,0,1,1,-1,-1,0,-1,-1,0,-1,-1,1,0,1,-1,0,0,-1,0,-1,-1,1,0,0,0,0,1,1,1,0,1,1,-1,0,1
16,Nadu,1,1,1,-1,1,-1,1,1,0,0,1,1,-1,-1,-1,-1,0,1,0,1,-1,-1,1,1,1,0,-1,-1,1,0,1,-1,0,0,-1,-1,0,-1,1,0,0,0,-1,-1,-1,0,-1,1,1,-1,0,0
17,The Love Inn,1,1,1,1,-1,-1,1,1,0,0,1,1,-1,-1,-1,-1,1,0,1,1,-1,-1,1,-1,1,0,-1,-1,1,0,1,-1,0,0,-1,0,-1,-1,1,1,0,-1,-1,1,1,0,1,1,1,-1,0,0
18,Slix Fast Food,-1,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,0
19,The Pasty Shop,-1,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,1,-1,-1,-1,0,-1,1,1,-1,-1,0
20,Rita's Takeaway,-1,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,0,-1,1,0,-1,1,0
21,Luna Express,-1,1,-1,-1,1,-1,-1,-1,0,0,-1,-1,-1,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,0
22,Crafty Egg,1,1,1,1,1,-1,-1,1,0,0,-1,1,1,1,-1,-1,1,1,1,1,-1,-1,0,1,1,1,-1,-1,1,0,-1,-1,1,0,0,-1,0,-1,1,1,-1,1,1,-1,-1,1,1,1,0,-1,0,1
23,Crofters Rights,1,1,1,1,-1,1,-1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,0,1,-1,0,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,0,0,0,0
24,Ray's Pizza,1,1,1,-1,1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,0,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,1,0
25,El Jefe Jose Cubanos,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,0,-1,1,0
26,Café Kino,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,0,-1,-1,1,-1,-1,1,0,-1,-1,1,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,1,-1,1,1,-1,0,0
27,Caper and Cure,1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,0,1,-1,0,-1,-1,1,1,-1,-1,-1,-1,1,0,-1,1,1,0,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,0,1
28,Crofters Summer Garden,1,1,1,1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,-1,1,0,-1,-1,1,-1,-1,0,-1,-1,1,0,1,-1,-1,0,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,0,0
29,The Bristolian,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,0,1,-1,0,-1,-1,1,0,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,0,2
30,The Pipe and Slippers,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,1,-1,0,-1,0,1,0,1,-1,-1,0,0,-1,-1,-1,1,0,0,-1,-1,1,1,1,-1,0,0,1,0,1
31,Rice and Things,1,1,1,-1,1,-1,0,0,0,0,0,0,-1,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,-1,0,0,-1,-1,-1,0,1,0,0,1,-1,-1,-1,-1,-1,1,1,-1,1,0
32,Elemental,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,0,0,1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,1,0,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,-1,0
